ऀ Sign Inverted Candrabindu
ँ Sign Candrabindu
ं Sign Anusvara
ः Sign Visarga
ऄ Letter Short A
अ Letter A
आ Letter Aa
इ Letter I
ई Letter Ii
उ Letter U
ऊ Letter Uu
ऋ Letter Vocalic R
ऌ Letter Vocalic L
ऍ Letter Candra E
ऎ Letter Short E
ए Letter E
ऐ Letter Ai
ऑ Letter Candra O
ऒ Letter Short O
ओ Letter O
औ Letter Au
क Letter Ka
ख Letter Kha
ग Letter Ga
घ Letter Gha
ङ Letter Nga
च Letter Ca
छ Letter Cha
ज Letter Ja
झ Letter Jha
ञ Letter Nya
ट Letter Tta
ठ Letter Ttha
ड Letter Dda
ढ Letter Ddha
ण Letter Nna
त Letter Ta
थ Letter Tha
द Letter Da
ध Letter Dha
न Letter Na
ऩ Letter Nnna
प Letter Pa
फ Letter Pha
ब Letter Ba
भ Letter Bha
म Letter Ma
य Letter Ya
र Letter Ra
ऱ Letter Rra
ल Letter La
ळ Letter Lla
ऴ Letter Llla
व Letter Va
श Letter Sha
ष Letter Ssa
स Letter Sa
ह Letter Ha
ऺ Vowel Sign Oe
ऻ Vowel Sign Ooe
़ Sign Nukta
ऽ Sign Avagraha
ा Vowel Sign Aa
ि Vowel Sign I
ी Vowel Sign Ii
ु Vowel Sign U
ू Vowel Sign Uu
ृ Vowel Sign Vocalic R
ॄ Vowel Sign Vocalic Rr
ॅ Vowel Sign Candra E
ॆ Vowel Sign Short E
े Vowel Sign E
ै Vowel Sign Ai
ॉ Vowel Sign Candra O
ॊ Vowel Sign Short O
ो Vowel Sign O
ौ Vowel Sign Au
् Sign Virama
ॎ Vowel Sign Prishthamatra E
ॏ Vowel Sign Aw
ॐ Om
॑ Stress Sign Udatta
॒ Stress Sign Anudatta
॓ Grave Accent
॔ Acute Accent
ॕ Vowel Sign Candra Long E
ॖ Vowel Sign Ue
ॗ Vowel Sign Uue
क़ Letter Qa
ख़ Letter Khha
ग़ Letter Ghha
ज़ Letter Za
ड़ Letter Dddha
ढ़ Letter Rha
फ़ Letter Fa
य़ Letter Yya
ॠ Letter Vocalic Rr
ॡ Letter Vocalic Ll
ॢ Vowel Sign Vocalic L
ॣ Vowel Sign Vocalic Ll
। Danda
॥ Double Danda
० Digit Zero
१ Digit One
२ Digit Two
३ Digit Three
४ Digit Four
५ Digit Five
६ Digit Six
७ Digit Seven
८ Digit Eight
९ Digit Nine
॰ Abbreviation Sign
ॱ Sign High Spacing Dot
ॲ Letter Candra A
ॳ Letter Oe
ॴ Letter Ooe
ॵ Letter Aw
ॶ Letter Ue
ॷ Letter Uue
ॸ Letter Marwari Dda
ॹ Letter Zha
ॺ Letter Heavy Ya
ॻ Letter Gga
ॼ Letter Jja
ॽ Letter Glottal Stop
ॾ Letter Ddda
ॿ Letter Bba
